Name,CreditType
John Kanaan,0
Andreas Papathanasis,0
Kristin Papathanasis,0
Ash Sevilla,0
Chris Michael Smith,0
Gabriel Björk Stiernström,0
John Fedorkiw,0
!1,0
Konrad Kaczmarzyk [QLOC],0
Kamila Łopata [QLOC],0
Mateusz Topolewski [QLOC],0
Adam Półka [QLOC],0
Dawid Salamądry [QLOC],0
Jacek Fajfer [QLOC],0
Gabriel Ciesnowski [QLOC],0
!1,0
Additional Sound Design by Sonorous,
Behrooz Parhizgar ,
!2,0
!3,1
Grant Swanjord,2
Cody Watts,2
Kryptik,2
Lightmere,2
Terrawynd,2
TheDarkestWisp,2
Whytewulf,2
Phobo,2
David Bonikowsky,2
Diran,2
!3,2
